class,image_path,name,xmax,xmin,ymax,ymin,confidence
7,7de37cd7590755c4f27715646bb62b80.jpg,GRAFFITI,737.3286133,235.9972534,509.5806885,155.884491,0.884861231
7,7de37cd7590755c4f27715646bb62b80.jpg,GRAFFITI,1279.074097,678.9689331,505.0927124,321.2502441,0.865405917
7,7de37cd7590755c4f27715646bb62b80.jpg,GRAFFITI,1651.698853,475.9285889,436.7852783,126.2177887,0.706123173
8,7bef9ac381b556a961e45df1df6ae1ac.jpg,POTHOLES,1504.844727,1339.945679,676.5282593,480.4912109,0.61532259
6,7bef9ac381b556a961e45df1df6ae1ac.jpg,GARBAGE,965.8006592,914.456665,452.0351563,372.2258301,0.397014529
8,7bef9ac381b556a961e45df1df6ae1ac.jpg,POTHOLES,568.1295166,459.774292,578.2667236,459.5175476,0.31070298
8,7bef9ac381b556a961e45df1df6ae1ac.jpg,POTHOLES,1685.144165,1421.107422,746.3076172,500.9518433,0.280164212
6,8045ef7ce29d3c924a2987f6af020d2a.jpg,GARBAGE,1680.000244,1584.803711,549.2901611,428.8010559,0.824350357
6,8045ef7ce29d3c924a2987f6af020d2a.jpg,GARBAGE,1348.744751,1242.167603,513.9769287,409.7936401,0.812605619
9,8045ef7ce29d3c924a2987f6af020d2a.jpg,SAND_ON_ROAD,1176.175415,1016.086487,525.2400513,407.4275208,0.287012726
7,876e7277e3fb83d8f87a201c2f25ccb6.jpg,GRAFFITI,1920,1391.418945,538.4101563,263.7651672,0.888972938
6,876e7277e3fb83d8f87a201c2f25ccb6.jpg,GARBAGE,277.3008423,60.39846039,986.5117188,770.0944824,0.719262004
7,876e7277e3fb83d8f87a201c2f25ccb6.jpg,GRAFFITI,1381.324463,1304.657471,451.3545532,328.7055664,0.475019127
8,876e7277e3fb83d8f87a201c2f25ccb6.jpg,POTHOLES,1246.196289,991.3331299,774.5917969,532.5197754,0.322321862
7,904e69719e3e879676400a29c74f2ac0.jpg,GRAFFITI,1348.225464,1050.631104,452.1691589,203.9664001,0.787092984
7,904e69719e3e879676400a29c74f2ac0.jpg,GRAFFITI,1574.533081,1401.012207,364.368103,187.7481079,0.589500487
7,904e69719e3e879676400a29c74f2ac0.jpg,GRAFFITI,1460.439575,1220.365479,409.930603,184.0175629,0.437493682
6,904e69719e3e879676400a29c74f2ac0.jpg,GARBAGE,493.479248,423.7791748,431.9824829,335.760376,0.369865239
6,904e69719e3e879676400a29c74f2ac0.jpg,GARBAGE,1457.0271,1339.856689,496.1705933,377.5000305,0.291140437
6,8b29f4a25e4ab87f3e1ee68b1c2ef7b2.jpg,GARBAGE,1601.304688,1427.616089,591.8886108,446.290741,0.806954205
6,8b29f4a25e4ab87f3e1ee68b1c2ef7b2.jpg,GARBAGE,810.5813599,701.979126,581.6177368,476.006958,0.792895257
6,8b29f4a25e4ab87f3e1ee68b1c2ef7b2.jpg,GARBAGE,733.0925293,631.5046387,493.9185181,363.7887573,0.652806044
6,8b29f4a25e4ab87f3e1ee68b1c2ef7b2.jpg,GARBAGE,410.8858032,290.2373047,471.5795288,366.5635986,0.518638074
6,8b29f4a25e4ab87f3e1ee68b1c2ef7b2.jpg,GARBAGE,995.6536865,893.895752,561.3746948,454.2285767,0.473272383
6,8b29f4a25e4ab87f3e1ee68b1c2ef7b2.jpg,GARBAGE,1533.664917,1461.763306,623.7815552,542.8269043,0.257820666
9,8cf0b6b57dd9e1db771d49e8b8acb002.jpg,SAND_ON_ROAD,833.119873,616.5645752,562.460083,360.4822998,0.889438033
3,8a2d30bab6bcd937414e162a1960db2a.jpg,CLUTTER_SIDEWALK,1919.70752,1070.775513,614.7838135,415.8816833,0.820049703
3,8a2d30bab6bcd937414e162a1960db2a.jpg,CLUTTER_SIDEWALK,1159.173218,618.0423584,590.519165,421.4057922,0.81815964
6,8a2d30bab6bcd937414e162a1960db2a.jpg,GARBAGE,309.2536621,215.7785797,778.9702148,700.5705566,0.645201802
3,8a2d30bab6bcd937414e162a1960db2a.jpg,CLUTTER_SIDEWALK,700.6569824,203.9768372,577.9656372,427.5305786,0.593613029
3,8a2d30bab6bcd937414e162a1960db2a.jpg,CLUTTER_SIDEWALK,184.4081421,0,581.8247681,425.5159607,0.456458539
